,ECNet,GVP-MSA,DENet,,,,,,
"CALM1_HUMAN, Weile 2017",0.821,0.861,0.851,,,,,,
"TPK1_HUMAN, Weile 2017",0.494,0.613,0.606,,,,,,
"VKOR1_HUMAN, Chiasson 2020",0.701,0.841,0.736,,,,,,
"ENVZ_ECOLI, Ghose 2023",0.933,0.869,0.935,,,,,,
"GCN4_YEAST, Staller 2018",0.798,0.829,0.768,,,,,,
"REV_HV1H2, Fernandes 2016",0.708,0.792,0.741,,,,,,
"SUMO1_HUMAN, Weile 2017",0.683,0.802,0.701,,,,,,
"CCDB_ECOLI, Tripathi 2016",0.988,0.972,0.997,,,,,,
"AACC1_PSEAI, Dandage 2018",0.803,0.834,0.838,,,,,,
"TPMT_HUMAN, Matreyek 2018",0.763,0.798,0.772,,,,,,
"SERC_HUMAN, Xie 2023",0.895,0.872,0.903,,,,,,
"TAT_HV1BR, Fernandes 2016",0.646,0.666,0.72,,,,,,
"A0A247D711_LISMN, Stadelmann 2021",0.922,0.87,0.918,,,,,,
"GAL4_YEAST, Kitzman 2015",0.848,0.853,0.861,,,,,,
"PTEN_HUMAN, Matreyek 2021",0.803,0.824,0.79,,,,,,
"CASP3_HUMAN, Roychowdhury 2020",0.879,0.873,0.899,,,,,,
"BLAT_ECOLX, Jacquier 2013",0.904,0.829,0.929,,,,,,
"DYR_ECOLI, Thompson 2019",0.914,0.911,0.917,,,,,,
"MTH3_HAEAE, RockahShmuel 2015", 0.771,0.774,0.759,,,,,,
"HSP82_YEAST, Mishra 2016",0.96,0.951,0.95,,,,,,
"UBC9_HUMAN, Weile 2017",0.67,0.587,0.684,,,,,,
"ACE2_HUMAN, Chan 2020",0.909,0.852,0.931,,,,,,
"DLG4_RAT, McLaughlin 2012",0.969,0.959,0.975,,,,,,
"ANCSZ, Hobbs 2022",0.813,0.833,0.854,,,,,,
"KCNE1_HUMAN, Muhammad 2023",0.91,0.868,0.898,,,,,,
"SRC_HUMAN, Ahler 2019",0.851,0.808,0.857,,,,,,
"NUD15_HUMAN, Suiter 2020",0.827,0.822,0.85,,,,,,
"OTC_HUMAN, Lo 2023",0.9,0.837,0.893,,,,,,
"TADBP_HUMAN, Bolognesi 2019",0.952,0.859,0.954,,,,,,
"IF1_ECOLI, Kelsic 2016",0.981,0.983,0.976,,,,,,
"ILF3_HUMAN, Tsuboyama 2023", 0.963,0.967,0.976,,,,,,
"RL40A_YEAST, Roscoe 2013",0.978,0.987,0.978,,,,,,
"GLPA_HUMAN, Elazar_2016",0.929,0.797,0.935,,,,,,
"PKN1_HUMAN, Tsuboyama 2023",0.971,0.976,0.975,,,,,,
"P53_HUMAN, Giacomelli 2018",0.916,0.928,0.913,,,,,,
"ARGR_ECOLI, Tsuboyama 2023",0.95,0.923,0.971,,,,,,
"DOCK1_MOUSE, Tsuboyama 2023",0.924,0.884,0.936,,,,,,
"SCIN_STAAR, Tsuboyama 2023",0.959,0.927,0.969,,,,,,
"SOX30_HUMAN, Tsuboyama 2023",0.957,0.964,0.988,,,,,,
"BBC1_YEAST, Tsuboyama 2023",0.944,0.918,0.965,,,,,,
"RBP1_HUMAN, Tsuboyama 2023",0.989,0.959,0.987,,,,,,
"CATR_CHLRE, Tsuboyama 2023",0.969,0.93,0.967,,,,,,
"PR40A_HUMAN, Tsuboyama 2023",0.971,0.975,0.972,,,,,,
"MBD11_ARATH, Tsuboyama 2023",0.964,0.944,0.976,,,,,,
"SPTN1_CHICK, Tsuboyama 2023",0.965,0.959,0.973,,,,,,
,,,,,,,,,
,,,,,,,,,
