,SaProt,ProtSSN,ECNet,SESNet,GVP-MSA,DENet,,,
"CALM1_HUMAN, Weile 2017",0.280,0.171,0.232,0.290,0.271,0.294,,,
"TPK1_HUMAN, Weile 2017",0.268,0.278,0.208,0.282,0.322,0.296,,,
"VKOR1_HUMAN, Chiasson 2020",0.431,0.389,0.401,0.303,0.473,0.467,,,
"ENVZ_ECOLI, Ghose 2023",0.145,0.188,0.399,0.334,0.403,0.539,,,
"GCN4_YEAST, Staller 2018",0.225,0.214,0.607,0.585,0.378,0.573,,,
"REV_HV1H2, Fernandes 2016",0.283,0.246,0.541,0.459,0.479,0.580,,,
"SUMO1_HUMAN, Weile 2017",0.494,0.500,0.515,0.593,0.638,0.596,,,
"CCDB_ECOLI, Tripathi 2016",0.490,0.482,0.586,0.594,0.592,0.606,,,
"AACC1_PSEAI, Dandage 2018",0.477,0.488,0.600,0.598,0.598,0.607,,,
"TPMT_HUMAN, Matreyek 2018",0.566,0.514,0.576,0.589,0.541,0.624,,,
"SERC_HUMAN, Xie 2023",0.557,0.551,0.551,0.586,0.600,0.630,,,
"TAT_HV1BR, Fernandes 2016",0.186,0.137,0.564,0.433,0.538,0.630,,,
"A0A247D711_LISMN, Stadelmann 2021",0.430,0.344,0.642,0.626,0.622,0.655,,,
"GAL4_YEAST, Kitzman 2015",0.542,0.625,0.691,0.626,0.651,0.679,,,
"PTEN_HUMAN, Matreyek 2021",0.484,0.441,0.678,0.657,0.688,0.700,,,
"CASP3_HUMAN, Roychowdhury 2020",0.644,0.570,0.597,0.530,0.622,0.704,,,
"BLAT_ECOLX, Jacquier 2013",0.705,0.691,0.622,0.626,0.635,0.720,,,
"DYR_ECOLI, Thompson 2019",0.493,0.418,0.689,0.473,0.713,0.723,,,
"MTH3_HAEAE, RockahShmuel 2015",0.590,0.569,0.633,0.557,0.654,0.726,,,
"HSP82_YEAST, Mishra 2016",0.453,0.446,0.765,0.784,0.783,0.755,,,
"UBC9_HUMAN, Weile 2017",0.369,0.433,0.716,0.710,0.655,0.762,,,
"ACE2_HUMAN, Chan 2020",0.285,0.222,0.657,0.567,0.697,0.768,,,
"DLG4_RAT, McLaughlin 2012",0.534,0.433,0.756,0.748,0.694,0.770,,,
"ANCSZ, Hobbs 2022",0.585,0.578,0.768,0.702,0.781,0.791,,,
"KCNE1_HUMAN, Muhammad 2023",0.336,0.528,0.824,0.732,0.721,0.795,,,
"SRC_HUMAN, Ahler 2019",0.495,0.517,0.785,0.769,0.777,0.799,,,
"NUD15_HUMAN, Suiter 2020",0.686,0.568,0.805,0.801,0.776,0.816,,,
"OTC_HUMAN, Lo 2023",0.618,0.574,0.767,0.720,0.779,0.832,,,
"TADBP_HUMAN, Bolognesi 2019",-0.010,0.040,0.822,0.827,0.703,0.832,,,
"IF1_ECOLI, Kelsic 2016",0.600,0.575,0.805,0.717,0.822,0.844,,,
"ILF3_HUMAN, Tsuboyama 2023",0.319,0.330,0.782,0.770,0.795,0.863,,,
"RL40A_TEAST, Roscoe 2013",0.381,0.532,0.803,0.688,0.795,0.864,,,
"GLPA_HUMAN, Elazar_2016",0.419,0.479,0.859,0.464,0.759,0.866,,,
"PKN1_HUMAN, Tsuboyama 2023",0.318,0.260,0.852,0.880,0.750,0.867,,,
"P53_HUMAN, Giacomelli 2018",0.615,0.438,0.872,0.769,0.875,0.871,,,
"ARGR_ECOLI, Tsuboyama 2023",0.569,0.529,0.830,0.851,0.779,0.885,,,
"DOCK1_MOUSE, Tsuboyama 2023",0.499,0.507,0.893,0.900,0.899,0.904,,,
"SCIN_STAAR, Tsuboyama 2023",0.620,0.480,0.876,0.872,0.814,0.933,,,
"SOX30_HUMAN, Tsuboyama 2023",0.333,0.333,0.894,0.830,0.766,0.935,,,
"BBC1_YEAST, Tsuboyama 2023",0.540,0.472,0.900,0.920,0.883,0.940,,,
"RBP1_HUMAN, Tsuboyama 2023",0.538,0.485,0.923,0.874,0.843,0.943,,,
"CATR_CHLRE, Tsuboyama 2023",0.620,0.668,0.942,0.941,0.943,0.950,,,
"PR40A_HUMAN, Tsuboyama 2023",0.799,0.812,0.945,0.947,0.932,0.954,,,
"MBD11_ARATH, Tsuboyama 2023",0.810,0.745,0.955,0.942,0.937,0.963,,,
"SPTN1_CHICK, Tsuboyama 2023",0.667,0.685,0.958,0.962,0.952,0.970,,,
,,,,,,,,,
